Data,Casos Confirmados,Óbitos
"Mar 7, 2020",19,0
"Mar 8, 2020",25,0
"Mar 9, 2020",25,0
"Mar 10, 2020",34,0
"Mar 11, 2020",52,0
"Mar 12, 2020",77,0
"Mar 13, 2020",98,0
"Mar 14, 2020",121,0
"Mar 15, 2020",200,0
"Mar 16, 2020",234,0
"Mar 17, 2020",291,1
"Mar 18, 2020",428,4
"Mar 19, 2020",621,6
"Mar 20, 2020",904,11
"Mar 21, 2020",1128,18
"Mar 22, 2020",1546,25
"Mar 23, 2020",1891,34
"Mar 24, 2020",2201,46
"Mar 25, 2020",2433,57
"Mar 26, 2020",2915,77
"Mar 27, 2020",3417,92
"Mar 28, 2020",3903,114
"Mar 29, 2020",4256,136
"Mar 30, 2020",4579,159
"Mar 31, 2020",5717,201
"Apr 1, 2020",6834,241
"Apr 2, 2020",7910,299
"Apr 3, 2020",9056,359
"Apr 4, 2020",10278,432
"Apr 5, 2020",11130,486
"Apr 6, 2020",12056,553
"Apr 7, 2020",13717,667
"Apr 8, 2020",15927,800
"Apr 9, 2020",17857,941
"Apr 10, 2020",19638,1056
"Apr 11, 2020",20727,1124
"Apr 12, 2020",22169,1223
"Apr 13, 2020",23430,1328
"Apr 14, 2020",25262,1532
"Apr 15, 2020",28320,1736
"Apr 16, 2020",30425,1924
"Apr 17, 2020",33682,2141
"Apr 18, 2020",36599,2347
"Apr 19, 2020",38654,2462
"Apr 20, 2020",40581,2575
"Apr 21, 2020",43079,2741
"Apr 22, 2020",45757,2906
"Apr 23, 2020",49492,3313
"Apr 24, 2020",52995,3670
"Apr 25, 2020",58509,4016
"Apr 26, 2020",61888,4205
"Apr 27, 2020",66501,4543
"Apr 28, 2020",71886,5017
"Apr 29, 2020",78162,5466
"Apr 30, 2020",85380,5901
"May 1, 2020",91299,6329
"May 2, 2020",96396,6724
"May 3, 2020",101147,7025
"May 4, 2020",105222,7288
